"JobID","JobName","State","array_offset","slurm_array_task_id"
"18747848_9776","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9776"
"18747848_9777","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9777"
"18747848_9778","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9778"
"18747848_9779","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9779"
"18747848_9780","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9780"
"18747848_9781","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9781"
"18747848_9782","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9782"
"18747848_9783","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9783"
"18747848_9784","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9784"
"18747848_9785","toar_regression_mda8_sub_10000","TIMEOUT",10000,"9785"
"18763469_6","toar_regression_mda8_sub_19999","TIMEOUT",19999,"6"
"18763469_7","toar_regression_mda8_sub_19999","TIMEOUT",19999,"7"
"18763469_8","toar_regression_mda8_sub_19999","TIMEOUT",19999,"8"
"18763469_9","toar_regression_mda8_sub_19999","TIMEOUT",19999,"9"
"18763469_10","toar_regression_mda8_sub_19999","TIMEOUT",19999,"10"
"18763469_11","toar_regression_mda8_sub_19999","TIMEOUT",19999,"11"
"18763469_12","toar_regression_mda8_sub_19999","TIMEOUT",19999,"12"
"18763469_13","toar_regression_mda8_sub_19999","TIMEOUT",19999,"13"
"18763469_14","toar_regression_mda8_sub_19999","TIMEOUT",19999,"14"
"18763469_15","toar_regression_mda8_sub_19999","TIMEOUT",19999,"15"
"18763469_16","toar_regression_mda8_sub_19999","TIMEOUT",19999,"16"
"18763469_17","toar_regression_mda8_sub_19999","TIMEOUT",19999,"17"
"18763469_18","toar_regression_mda8_sub_19999","TIMEOUT",19999,"18"
"18763469_19","toar_regression_mda8_sub_19999","TIMEOUT",19999,"19"
"18763469_20","toar_regression_mda8_sub_19999","TIMEOUT",19999,"20"
"18763469_21","toar_regression_mda8_sub_19999","TIMEOUT",19999,"21"
"18763469_22","toar_regression_mda8_sub_19999","TIMEOUT",19999,"22"
"18763469_23","toar_regression_mda8_sub_19999","TIMEOUT",19999,"23"
"18763469_24","toar_regression_mda8_sub_19999","TIMEOUT",19999,"24"
"18763469_25","toar_regression_mda8_sub_19999","TIMEOUT",19999,"25"
"18763469_26","toar_regression_mda8_sub_19999","TIMEOUT",19999,"26"
"18763469_357","toar_regression_mda8_sub_19999","TIMEOUT",19999,"357"
"18763469_358","toar_regression_mda8_sub_19999","TIMEOUT",19999,"358"
"18763469_359","toar_regression_mda8_sub_19999","TIMEOUT",19999,"359"
"18763469_360","toar_regression_mda8_sub_19999","TIMEOUT",19999,"360"
"18763469_361","toar_regression_mda8_sub_19999","TIMEOUT",19999,"361"
"18763469_362","toar_regression_mda8_sub_19999","TIMEOUT",19999,"362"
"18763469_363","toar_regression_mda8_sub_19999","TIMEOUT",19999,"363"
"18763469_364","toar_regression_mda8_sub_19999","TIMEOUT",19999,"364"
"18763469_365","toar_regression_mda8_sub_19999","TIMEOUT",19999,"365"
"18763469_366","toar_regression_mda8_sub_19999","TIMEOUT",19999,"366"
"18763469_367","toar_regression_mda8_sub_19999","TIMEOUT",19999,"367"
"18763469_368","toar_regression_mda8_sub_19999","TIMEOUT",19999,"368"
"18763469_369","toar_regression_mda8_sub_19999","TIMEOUT",19999,"369"
"18763469_370","toar_regression_mda8_sub_19999","TIMEOUT",19999,"370"
"18763469_371","toar_regression_mda8_sub_19999","TIMEOUT",19999,"371"
"18763469_372","toar_regression_mda8_sub_19999","TIMEOUT",19999,"372"
"18763469_373","toar_regression_mda8_sub_19999","TIMEOUT",19999,"373"
"18763469_374","toar_regression_mda8_sub_19999","TIMEOUT",19999,"374"
"18763469_1747","toar_regression_mda8_sub_19999","FAILED",19999,"1747"
"18763469_1818","toar_regression_mda8_sub_19999","FAILED",19999,"1818"
"18763469_1824","toar_regression_mda8_sub_19999","FAILED",19999,"1824"
"18763469_2178","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2178"
"18763469_2179","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2179"
"18763469_2180","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2180"
"18763469_2181","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2181"
"18763469_2182","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2182"
"18763469_2183","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2183"
"18763469_2184","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2184"
"18763469_2185","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2185"
"18763469_2186","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2186"
"18763469_2187","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2187"
"18763469_2188","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2188"
"18763469_2189","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2189"
"18763469_2761","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2761"
"18763469_2762","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2762"
"18763469_2763","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2763"
"18763469_2764","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2764"
"18763469_2765","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2765"
"18763469_2766","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2766"
"18763469_2767","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2767"
"18763469_2768","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2768"
"18763469_2769","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2769"
"18763469_2770","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2770"
"18763469_2771","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2771"
"18763469_2772","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2772"
"18763469_2773","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2773"
"18763469_2774","toar_regression_mda8_sub_19999","TIMEOUT",19999,"2774"
